iter	Passed	Remaining
659	1523	784
660	1525	782
661	1527	780
662	1530	777
663	1532	775
664	1535	773
665	1537	771
666	1540	768
667	1542	766
668	1545	764
669	1547	762
670	1549	759
671	1552	757
672	1554	755
673	1557	753
674	1559	750
675	1562	748
676	1564	746
677	1566	744
678	1569	742
679	1572	739
680	1574	737
681	1577	735
682	1579	733
683	1581	730
684	1584	728
685	1587	726
686	1589	724
687	1592	722
688	1594	719
689	1596	717
690	1599	715
691	1602	713
692	1604	710
693	1607	708
694	1609	706
695	1612	704
696	1614	701
697	1616	699
698	1619	697
699	1621	695
700	1623	692
701	1626	690
702	1628	688
703	1630	685
704	1633	683
705	1635	681
706	1638	678
707	1640	676
708	1643	674
709	1645	672
710	1647	669
711	1650	667
712	1652	665
713	1654	662
714	1657	660
715	1659	658
716	1661	655
717	1664	653
718	1666	651
719	1669	649
720	1671	646
721	1674	644
722	1676	642
723	1678	640
724	1681	637
725	1683	635
726	1685	633
727	1687	630
728	1689	628
729	1692	625
730	1694	623
731	1696	621
732	1698	618
733	1700	616
734	1702	613
735	1704	611
736	1707	609
737	1709	606
738	1711	604
739	1714	602
740	1716	599
741	1718	597
742	1720	595
743	1722	592
744	1724	590
745	1726	587
746	1728	585
747	1730	583
748	1732	580
749	1735	578
750	1737	576
751	1739	573
752	1741	571
753	1744	569
754	1746	566
755	1748	564
756	1750	561
757	1753	559
758	1755	557
759	1757	555
760	1760	552
761	1762	550
762	1764	548
763	1767	545
764	1769	543
765	1771	541
766	1774	538
767	1776	536
768	1779	534
769	1781	532
770	1783	529
771	1786	527
772	1788	525
773	1791	523
774	1793	520
775	1796	518
776	1798	516
777	1801	513
778	1803	511
779	1805	509
780	1808	507
781	1810	504
782	1813	502
783	1815	500
784	1818	498
785	1821	495
786	1823	493
787	1826	491
788	1829	489
789	1831	486
790	1834	484
791	1837	482
792	1839	480
793	1842	478
794	1845	475
795	1847	473
796	1849	471
797	1852	468
798	1854	466
799	1857	464
800	1859	462
801	1862	459
802	1864	457
803	1867	455
804	1869	452
805	1871	450
806	1874	448
807	1876	445
808	1878	443
809	1881	441
810	1883	439
811	1885	436
812	1888	434
813	1890	432
814	1892	429
815	1895	427
816	1897	424
817	1899	422
818	1902	420
819	1904	418
820	1907	415
821	1909	413
822	1912	411
823	1914	408
824	1916	406
825	1919	404
826	1921	402
827	1924	399
828	1926	397
829	1929	395
830	1931	392
831	1934	390
832	1936	388
833	1938	385
834	1941	383
835	1946	381
836	1949	379
837	1952	377
838	1954	375
839	1957	372
840	1959	370
841	1962	368
842	1965	365
843	1967	363
844	1969	361
845	1972	359
846	1975	356
847	1977	354
848	1979	352
849	1982	349
850	1984	347
851	1987	345
852	1989	342
853	1991	340
854	1993	338
855	1996	335
856	1998	333
857	2000	331
858	2002	328
859	2004	326
860	2007	324
861	2009	321
862	2011	319
863	2013	316
864	2016	314
865	2018	312
866	2020	309
867	2022	307
868	2025	305
869	2027	302
870	2030	300
871	2032	298
872	2034	296
873	2037	293
874	2040	291
875	2042	289
876	2044	286
877	2046	284
878	2048	282
879	2051	279
880	2053	277
881	2055	275
882	2057	272
883	2059	270
884	2062	267
885	2064	265
886	2066	263
887	2068	260
888	2071	258
889	2073	256
890	2075	253
891	2078	251
892	2080	249
893	2082	246
894	2084	244
895	2087	242
896	2089	239
897	2091	237
898	2093	235
899	2095	232
900	2097	230
901	2100	228
902	2102	225
903	2104	223
904	2106	221
905	2108	218
906	2110	216
907	2112	214
908	2115	211
909	2117	209
910	2119	207
911	2121	204
912	2123	202
913	2125	200
914	2127	197
915	2130	195
916	2132	193
917	2134	190
918	2136	188
919	2139	186
920	2141	183
921	2143	181
922	2146	179
923	2148	176
924	2150	174
925	2152	172
926	2154	169
927	2157	167
928	2159	165
929	2161	162
930	2163	160
931	2165	158
932	2168	155
933	2170	153
934	2172	151
935	2174	148
936	2176	146
937	2179	144
938	2181	141
939	2184	139
940	2186	137
941	2188	134
942	2191	132
943	2194	130
944	2196	127
945	2199	125
946	2202	123
947	2204	120
948	2207	118
949	2209	116
950	2211	113
951	2214	111
952	2216	109
953	2218	106
954	2220	104
955	2223	102
956	2225	100
957	2227	97
958	2230	95
959	2232	93
960	2234	90
961	2236	88
962	2238	86
963	2240	83
964	2243	81
965	2245	79
966	2247	76
967	2249	74
968	2251	72
969	2254	69
970	2256	67
971	2258	65
972	2260	62
973	2262	60
974	2265	58
975	2267	55
976	2269	53
977	2271	51
978	2274	48
979	2276	46
980	2278	44
981	2280	41
982	2282	39
983	2285	37
984	2287	34
985	2289	32
986	2291	30
987	2293	27
988	2296	25
989	2298	23
990	2300	20
991	2302	18
992	2304	16
993	2307	13
994	2309	11
995	2311	9
996	2313	6
997	2315	4
998	2317	2
999	2320	0
